D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;21057;61058,7914
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;21090;62665,6017

D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;7585;25240,9618
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;7255;25225,3617
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;7186;25131,7611
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;7326;26566,9703
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;7121;24382,9563
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;7151;24429,7566
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-04devID1.jpg;7248;25911,7661
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-05devID2.jpg;7328;26036,5669
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-34devID1.jpg;7290;26785,3717
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-26-35devID2.jpg;7287;25708,9648
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-41devID1.jpg;7585;26052,167
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-24-43devID2.jpg;7165;25272,162
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-04devID1.jpg;7119;25022,5604
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-05devID2.jpg;7265;25771,3652
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-34devID1.jpg;7144;26052,167
D:\_gulevlab\SkyImagesAnalysis_appData\_RV-ANS-31-total\images\snapshots-2015-12-16\img-2015-12-16T02-25-35devID2.jpg;7177;24975,7601
